"nro","enunciado","rutaImagen","opciones","opcCorrecta"
1,"Método cerrado conocido como de corte binario, de partición de intervalos o de Bolzano, es un tipo de búsqueda incremental de la raíz en el que el intervalo se divide siempre a la mitad.","null","Método Falsa Posición,Método de Bisección,Método de Newton – Raphson,Método de la Secante,Método del Punto Fijo","Método de Bisección"
2,"Los siguientes pasos explican un algoritmo sencillo para la aplicación del método denominado ……… Paso 1: Escribir la función a resolver (f(X) = 0) en la forma: g(x) = x. Paso 2: Elegir el punto inicial p0. Paso 3: Calcular el valor aproximado a la solución p1 = g(p0). Paso 4: Calcular el error y comparar con el error solicitado. Si el error obtenido es mayor, repetir el paso 3, en caso contrario finalizar.","null","Secante,Punto Fijo,Falsa Posisción,Bisección,Newton - Raphson","Punto Fijo"
3,"Dentro del planteamiento de un modelo matemático, son el reflejo de las propiedades o la composición del sistema, generalmente son valores específicos tomados a partir de las características particulares de los elementos presentes en el sistema que se modelo.","null","Parametros,Variables Dependientes,Variables,Variables Independientes,Funciones de Fuerza","Parametros"
4,"Estos métodos contemplan las raíces de una función como el cambio de signo en la cercanía de una raíz dos valores iniciales para encontrar la raíz, uno antes y otro después de este punto.","null","Métodos aleatorios,Métodos Graficos,Métodos Cerrados,Métodos Abiertos,Métodos de intervalo","Métodos Cerrados"
5,"Este método, como en el método de la bisección, parte de dos puntos que rodean a la raíz f(x) = 0, es decir, dos puntos x0 y x1 tales que f(x0) f(x1) < 0, siendo los segmentos estimados proporcionales y no iguales.","null","Bisección,Punto Fijo,Newton – Raphson,Falsa posición,Secante","Falsa posición"
6,"Métodos que, de estimación de raíces, que empiezan con intervalos que contienen o encierran a la raíz, y después reducen sistemáticamente el tamaño del intervalo.","null","Métodos Abiertos,Métodos Cerrados,Métodos Gráficos,Métodos Directos,Métodos de Prueba y Error","Métodos Cerrados"
7,"Es el valor de x que hace que f(x) = 0, por lo que en algunas ocasiones se les conoce como ceros de la ecuación.","null","Raíces,Derivada de f(x),Métodos Cerrados,Métodos Abiertos,Métodos Directos","Raíces"
8,"Método que tiene un valor practico limitado, ya que no es preciso. Sin embargo, se utilizan para obtener aproximaciones de la raíz, que pueden ser utilizadas como valores iniciales para otros métodos.","null","Método de Prueba y Error,Método Cerrado,Método Directo,Método Grafico,Método Abierto","Método Grafico"
9,"Otro nombre con el que se le conoce al método de falsa posición.","null","Método de Bisección,Método Engañoso,Método de interpolación Lineal,Método Húngaro,Regula Falsi","Método de interpolación Lineal"
10,"Se entiende como la garantía de que, al realizar un buen número de iteraciones, las aproximaciones obtenidas terminan por acercarse cada vez más al verdadero valor buscado.","null","Coincidencia,Divergencia,Concurrencia,Convergencia,Confluencia","Convergencia"
11,"Una técnica fundamental de la computación científica que trata de repetir un proceso hasta que se obtiene un resultado.","null","Concurrencia,Confluencia,Convergencia,Iteración,Divergencia","Iteración"
12,"Es un algoritmo de búsqueda de raíces que trabaja dividiendo el intervalo a la mitad y seleccionando el sub – intervalo que tiene la raíz.","null","Método de Raphson,Método del punto fijo,Métodos Numéricos,Método de Falsa Posición,Método de Bisección","Método de Bisección"
13,"También se le conoce como método de partición de intervalos o de Bolzano.","null","Método de Falsa Posición,Método de Newton – Raphson,Método de Runge – Kutta,Método de Bisección,Método de Lagrange","Método de Bisección"
14,"Se basa en el hecho de que, cuando un intervalo [a, c] tiene una raíz, el signo de y(x) en los extremos es distinto, o sea, f(a)f(c) < 0. Acorde al teorema del cual proviene.","null","Método Falsa Posición,Método de la Bisección,Método del Punto Fijo,Método de la Secante,Método Newton - Raphson","Método de la Bisección"
15,"Además de proporcionar estimaciones aproximadas de la raíz, es una herramienta importante para la comprensión de las propiedades de las funciones y en la prevención de las fallas de los métodos numéricos.","null","Método Directo,Método Abierto,Método Cerrado,Método Grafico,Método de Prueba y Error","Método Grafico"
